# LAMMPS data file written by OVITO Basic 3.5.4
16848 atoms
4 atom types
0.0 79.029 xlo xhi
0.0 79.029 ylo yhi
0.0 79.029 zlo zhi
0.0000 0.0000 0.0000 xy xz yz

Masses

1 12.0107  # C
2 63.546  # Cu
3 1.00794  # H
4 15.9994  # O

Atoms  # charge

160 1 0.0 7.81912926 14.98073724 18.5243976
161 1 0.0 18.5243976 7.81912926 14.98073724
162 1 0.0 7.81912926 18.5243976 14.98073724
163 1 0.0 7.81912926 7.81912926 11.36199933
164 1 0.0 18.5243976 18.5243976 11.36199933
165 1 0.0 20.9901024 14.98073724 5.35263417
166 1 0.0 5.35263417 14.98073724 20.9901024
167 1 0.0 20.9901024 11.36199933 20.9901024
168 1 0.0 5.35263417 11.36199933 5.35263417
169 1 0.0 20.9901024 5.35263417 11.36199933
170 1 0.0 5.35263417 20.9901024 11.36199933
171 1 0.0 20.9901024 20.9901024 14.98073724
172 1 0.0 5.35263417 5.35263417 14.98073724
173 1 0.0 18.5243976 14.98073724 18.5243976
174 1 0.0 7.81912926 14.98073724 7.81912926
175 1 0.0 7.81912926 11.36199933 18.5243976
176 1 0.0 18.5243976 11.36199933 7.81912926
177 1 0.0 11.36199933 7.81912926 18.5243976
178 1 0.0 11.36199933 18.5243976 7.81912926
179 1 0.0 14.98073724 18.5243976 18.5243976
180 1 0.0 14.98073724 7.81912926 7.81912926
181 1 0.0 11.36199933 5.35263417 5.35263417
182 1 0.0 11.36199933 20.9901024 20.9901024
183 1 0.0 14.98073724 5.35263417 20.9901024
184 1 0.0 14.98073724 20.9901024 5.35263417
185 1 0.0 14.98073724 18.5243976 7.81912926
186 1 0.0 14.98073724 7.81912926 18.5243976
187 1 0.0 11.36199933 7.81912926 7.81912926
188 1 0.0 11.36199933 18.5243976 18.5243976
189 1 0.0 14.98073724 20.9901024 20.9901024
190 1 0.0 14.98073724 5.35263417 5.35263417
191 1 0.0 11.36199933 20.9901024 5.35263417
192 1 0.0 11.36199933 5.35263417 20.9901024
193 1 0.0 9.62810307 5.25305763 22.7998665
194 1 0.0 16.7146335 21.08967894 22.7998665
195 1 0.0 16.7146335 5.25305763 3.54287007
196 1 0.0 9.62810307 21.08967894 3.54287007
197 1 0.0 22.7998665 9.62810307 5.25305763
198 1 0.0 22.7998665 16.7146335 21.08967894
199 1 0.0 3.54287007 16.7146335 5.25305763
200 1 0.0 3.54287007 9.62810307 21.08967894
201 1 0.0 5.25305763 22.7998665 9.62810307
202 1 0.0 21.08967894 22.7998665 16.7146335
203 1 0.0 5.25305763 3.54287007 16.7146335
204 1 0.0 21.08967894 3.54287007 9.62810307
205 1 0.0 5.25305763 9.62810307 3.54287007
206 1 0.0 21.08967894 16.7146335 3.54287007
207 1 0.0 5.25305763 16.7146335 22.7998665
208 1 0.0 21.08967894 9.62810307 22.7998665
209 1 0.0 9.62810307 22.7998665 21.08967894
210 1 0.0 16.7146335 22.7998665 5.25305763
211 1 0.0 16.7146335 3.54287007 21.08967894
212 1 0.0 9.62810307 3.54287007 5.25305763
213 1 0.0 22.7998665 5.25305763 16.7146335
214 1 0.0 22.7998665 21.08967894 9.62810307
215 1 0.0 3.54287007 5.25305763 9.62810307
216 1 0.0 3.54287007 21.08967894 16.7146335
217 1 0.0 16.7146335 21.08967894 3.54287007
218 1 0.0 9.62810307 5.25305763 3.54287007
219 1 0.0 9.62810307 21.08967894 22.7998665
220 1 0.0 16.7146335 5.25305763 22.7998665
221 1 0.0 3.54287007 16.7146335 21.08967894
222 1 0.0 3.54287007 9.62810307 5.25305763
223 1 0.0 22.7998665 9.62810307 21.08967894
224 1 0.0 22.7998665 16.7146335 5.25305763
225 1 0.0 21.08967894 3.54287007 16.7146335
226 1 0.0 5.25305763 3.54287007 9.62810307
227 1 0.0 21.08967894 22.7998665 9.62810307
228 1 0.0 5.25305763 22.7998665 16.7146335
229 1 0.0 21.08967894 16.7146335 22.7998665
230 1 0.0 5.25305763 9.62810307 22.7998665
231 1 0.0 21.08967894 9.62810307 3.54287007
232 1 0.0 5.25305763 16.7146335 3.54287007
233 1 0.0 16.7146335 3.54287007 5.25305763
234 1 0.0 9.62810307 3.54287007 21.08967894
235 1 0.0 9.62810307 22.7998665 5.25305763
236 1 0.0 16.7146335 22.7998665 21.08967894
237 1 0.0 3.54287007 21.08967894 9.62810307
238 1 0.0 3.54287007 5.25305763 16.7146335
239 1 0.0 22.7998665 21.08967894 16.7146335
240 1 0.0 22.7998665 5.25305763 9.62810307
241 1 0.0 9.62810307 18.42403077 9.62810307
242 1 0.0 16.7146335 7.9187058 9.62810307
243 1 0.0 16.7146335 18.42403077 16.7146335
244 1 0.0 9.62810307 7.9187058 16.7146335
245 1 0.0 22.7998665 22.7998665 18.42403077
246 1 0.0 22.7998665 3.54287007 7.9187058
247 1 0.0 3.54287007 3.54287007 18.42403077
248 1 0.0 3.54287007 22.7998665 7.9187058
249 1 0.0 9.62810307 9.62810307 7.9187058
250 1 0.0 16.7146335 9.62810307 18.42403077
251 1 0.0 16.7146335 16.7146335 7.9187058
252 1 0.0 9.62810307 16.7146335 18.42403077
253 1 0.0 22.7998665 18.42403077 3.54287007
254 1 0.0 22.7998665 7.9187058 22.7998665
255 1 0.0 3.54287007 18.42403077 22.7998665
256 1 0.0 3.54287007 7.9187058 3.54287007
257 1 0.0 16.7146335 7.9187058 16.7146335
258 1 0.0 9.62810307 18.42403077 16.7146335
259 1 0.0 9.62810307 7.9187058 9.62810307
260 1 0.0 16.7146335 18.42403077 9.62810307
261 1 0.0 3.54287007 3.54287007 7.9187058
262 1 0.0 3.54287007 22.7998665 18.42403077
263 1 0.0 22.7998665 22.7998665 7.9187058
264 1 0.0 22.7998665 3.54287007 18.42403077
265 1 0.0 16.7146335 16.7146335 18.42403077
266 1 0.0 9.62810307 16.7146335 7.9187058
267 1 0.0 9.62810307 9.62810307 18.42403077
268 1 0.0 16.7146335 9.62810307 7.9187058
269 1 0.0 3.54287007 7.9187058 22.7998665
270 1 0.0 3.54287007 18.42403077 3.54287007
271 1 0.0 22.7998665 7.9187058 3.54287007
272 1 0.0 22.7998665 18.42403077 22.7998665
273 1 0.0 18.42403077 22.7998665 22.7998665
274 1 0.0 7.9187058 22.7998665 3.54287007
275 1 0.0 18.42403077 3.54287007 3.54287007
276 1 0.0 7.9187058 3.54287007 22.7998665
277 1 0.0 18.42403077 9.62810307 16.7146335
278 1 0.0 7.9187058 16.7146335 16.7146335
279 1 0.0 18.42403077 16.7146335 9.62810307
280 1 0.0 7.9187058 9.62810307 9.62810307
281 1 0.0 7.9187058 3.54287007 3.54287007
282 1 0.0 18.42403077 3.54287007 22.7998665
283 1 0.0 7.9187058 22.7998665 22.7998665
284 1 0.0 18.42403077 22.7998665 3.54287007
285 1 0.0 7.9187058 16.7146335 9.62810307
286 1 0.0 18.42403077 9.62810307 9.62810307
287 1 0.0 7.9187058 9.62810307 16.7146335
288 1 0.0 18.42403077 16.7146335 16.7146335
289 2 0.0 7.5156579 7.5156579 0.0
290 2 0.0 18.82707867 18.82707867 0.0
291 2 0.0 18.82707867 7.5156579 0.0
292 2 0.0 7.5156579 18.82707867 0.0
293 2 0.0 0.0 7.5156579 7.5156579
294 2 0.0 0.0 18.82707867 18.82707867
295 2 0.0 0.0 18.82707867 7.5156579
296 2 0.0 0.0 7.5156579 18.82707867
297 2 0.0 7.5156579 0.0 7.5156579
298 2 0.0 18.82707867 0.0 18.82707867
